,type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
10,PvP,20220314T025246.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7270,1,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20GJJPU9,Over かずと❦,7188,0,#Y89VR8JL,Juvenile,16000040.0,X-Bow,9,9,Valkyrie,12,12,Archer Queen,4,4,Tesla,14,14,The Log,6,6,Rocket,12,12,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PvP,20220314T024714.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7294,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VGG28,Pedro™️,7355,1,#QLU8U8LC,CODE: KCLASH,16000108.0,Giant,12,12,Archer Queen,4,4,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,Giant Snowball,14,14,Arrows,14,14,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PvP,20220314T024233.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7264,1,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PY0YGJRUL,mauboe,7269,0,#G9QP2QC,18's,16000003.0,Electro Spirit,14,14,Rocket,12,12,Goblin Barrel,9,9,Princess,6,6,Inferno Tower,12,12,Valkyrie,12,12,Guards,9,9,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PvP,20220314T021929.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7231,1,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92U29RCJ,ATHTA❤DEATHKING,7266,0,#QVVV0JJP,C.A Champions,16000000.0,Skeleton King,4,4,Electro Giant,9,9,Mega Minion,12,12,Bomber,14,14,Dark Prince,9,9,Lightning,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PvP,20220314T021334.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7272,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PQ8LQCUJ,ぽんじゅうる,7126,1,#LCLULQU9,YT:2.6hog daily,16000035.0,Hog Rider,12,12,Musketeer,12,12,Cannon,14,14,Ice Golem,12,12,Skeletons,14,14,Ice Spirit,14,14,The Log,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PvP,20220314T020713.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7242,1,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89RCVUG8G,なかやまきんに君,7252,0,#PYGQQC2P,Divine Saga,16000043.0,Skeletons,14,14,Royal Delivery,14,14,Cannon,14,14,Archer Queen,4,4,Royal Hogs,12,12,Fire Spirit,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PvP,20220314T020247.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7281,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVU90GR,CMG Gabo✨,7162,1,#Q8YPV8C9,Twitch,16000128.0,Inferno Dragon,6,6,Bandit,6,6,Barbarian Barrel,9,9,Magic Archer,6,6,Lumberjack,6,6,Ram Rider,6,6,Heal Spirit,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PvP,20220314T015543.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7322,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V9QVQCGC,やすおう^_^,7182,1,#PYGQQC2P,Divine Saga,16000043.0,Archer Queen,4,4,Royal Hogs,12,12,Earthquake,12,12,Cannon,14,14,Royal Delivery,14,14,Fire Spirit,14,14,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PvP,20220314T014821.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7356,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R90PRV0PY,Ryley,7302,1,#Q9CRG299,YT: Ryley CR,16000170.0,Rocket,12,12,Valkyrie,12,12,Ice Wizard,6,6,Skeletons,14,14,The Log,6,6,X-Bow,9,9,Tesla,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PvP,20220314T013909.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7356,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LGYYV9G,Eragon,7260,0,#G9Y9Q9RR,Trade,16000133.0,The Log,6,6,Fireball,12,12,Skeletons,14,14,Knight,14,14,Ice Spirit,14,14,X-Bow,9,9,Tesla,14,14,Archers,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PvP,20220314T012006.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7331,1,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98PCYQ00R,Chikaporon™️,7278,0,#8VCVPC28,StarAlliance JP,16000040.0,Magic Archer,6,6,Archer Queen,4,4,Cannon Cart,9,9,Royal Ghost,6,6,Electro Wizard,6,6,Elite Barbarians,14,14,Heal Spirit,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PvP,20220314T010848.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7307,1,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLJCQQ0,アーモンドサラダ【サブ垢】,7244,0,#PJL99LL8,ぽんたサラダ,16000102.0,Archer Queen,4,4,Bomber,14,14,Dark Prince,9,9,Electro Giant,9,9,Goblin Cage,12,12,Lightning,9,9,Electro Spirit,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PvP,20220314T010415.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7341,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PPRU8QU0,Aka Sight✨,7287,1,#2JVJRYP,Nova l UK,16000044.0,Ram Rider,6,6,Magic Archer,6,6,Archer Queen,4,4,Lumberjack,6,6,Fireball,12,12,The Log,6,6,Ice Golem,12,12,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PvP,20220314T005206.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7320,1,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J0LV2Q02,❤shoko❤,7216,0,#PJQLGYRQ,INDIAN ARMY,16000059.0,Knight,14,14,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,11,12,Graveyard,6,6,Poison,9,9,Tornado,7,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PvP,20220314T004614.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#Y9R22RQ2,CMG Ian77,7348,0,#L89GRCRR,Fatherless,16000154.0,Princess,6,6,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Fire Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VGG28,Pedro™️,7360,3,#YPU0GJUV,BisTuRi,16000021.0,Giant,12,12,Archer Queen,4,4,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,Giant Snowball,14,14,Arrows,14,14,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PvP,20220313T170008.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#9G28ULYR,TRB Lucas,6986,1,#LJ2G2JVC,SomosTodos75,16000149.0,Wall Breakers,9,9,Inferno Tower,12,12,Fire Spirit,14,14,Guards,9,9,Dart Goblin,12,12,Fireball,12,12,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#890J89GG9,Orium,7074,0,#LRYU9RJG,LighTown ⭐️,16000040.0,Bandit,6,6,Skeleton Army,9,9,Bats,14,14,Mega Knight,6,6,Tesla,14,14,Fireball,12,12,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PvP,20220313T165617.000Z,,54000041,Legendary Arena,72000201,Ladder_CrownRush,,collection,#9G28ULYR,TRB Lucas,7011,0,#LJ2G2JVC,SomosTodos75,16000149.0,Wall Breakers,9,9,Inferno Tower,12,12,Fire Spirit,14,14,Guards,9,9,Dart Goblin,12,12,Fireball,12,12,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J9UCJCQ,✨♣️♦️Pedal♥️♠️✨,7058,3,,,,Wall Breakers,9,9,Royal Ghost,6,6,Goblin Drill,9,9,Princess,6,6,Royal Recruits,14,14,Bandit,6,6,Elite Barbarians,14,14,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,friendly,20220313T005732.000Z,,54000018,Champion,72000007,Friendly,,collection,#9G28ULYR,TRB Lucas,7011,0,#LJ2G2JVC,SomosTodos75,16000149.0,X-Bow,6,9,Freeze,6,9,Rage,6,9,Ice Spirit,11,14,Electro Spirit,11,14,Tesla,11,14,Tombstone,9,12,Elixir Collector,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP8PLVJCU,RS たぁ,7011,1,#GL89PJ9C,CRL2022,16000170.0,Skeleton King,1,4,Giant Skeleton,6,9,Sparky,3,6,Hunter,6,9,Clone,6,9,Skeleton Army,6,9,Arrows,11,14,Skeleton Barrel,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
